id,ADDRESS_IN,MATCH_INDICATOR,MATCH_TYPE,ADDRESS_OUT,LONG_LAT,TIGER_EDGE,STREET_SIDE,FIPS_STATE,FIPS_COUNTY,CENSUS_TRACT,CENSUS_BLOCK
88,"1535 Milnor St,  Jacksonville, FL, 32206",Match,Exact,"1535 MILNOR ST, JACKSONVILLE, FL, 32206","-81.63875414597766,30.342297705476426",83899518.0,R,12.0,31.0,17400.0,2021.0
89,"1520 Sprinkle Dr,  Jacksonville, FL, 32211-5452",Match,Non_Exact,"1520 SPRINKLE DR, JACKSONVILLE, FL, 32211","-81.59233064994305,30.336588779250803",83960547.0,L,12.0,31.0,15400.0,1010.0
110,"7000 Powers Ave,  Jacksonville, FL, 32217-3398",Match,Non_Exact,"7000 POWERS AVE, JACKSONVILLE, FL, 32217","-81.6128897456345,30.24882526807272",610518975.0,L,12.0,31.0,16606.0,1000.0
111,"700 Seagate Ave,  Neptune Beach, FL, 32266-3505",Match,Non_Exact,"700 SEAGATE AVE, NEPTUNE BEACH, FL, 32266","-81.40182204301527,30.3076187264042",83922963.0,R,12.0,31.0,14001.0,3003.0
112,"590 Duval Station Rd,  Jacksonville, FL, 32218-1869",Match,Non_Exact,"590 DUVAL STATION RD, JACKSONVILLE, FL, 32218","-81.6122162068803,30.485515555847314",83961150.0,R,12.0,31.0,10204.0,2004.0
113,"4831 Greenland Rd,  Jacksonville, FL, 32258-1517",Match,Non_Exact,"4831 GREENLAND RD, JACKSONVILLE, FL, 32258","-81.58166477734193,30.161353569238145",83989649.0,R,12.0,31.0,16810.0,2000.0
114,"4412 Barnes Rd,  Jacksonville, FL, 32207-7469",Match,Non_Exact,"4412 BARNES RD S, JACKSONVILLE, FL, 32207","-81.60991551291033,30.27829099097187",83918795.0,R,12.0,31.0,16102.0,2000.0
115,"3816 N Main St,  Jacksonville, FL, 32206-1450",Match,Non_Exact,"3816 N MAIN ST, JACKSONVILLE, FL, 32206","-81.65348151584033,30.361881009466572",83898000.0,L,12.0,31.0,1300.0,3015.0
116,"3701 Winton Dr,  Jacksonville, FL, 32208-2998",Match,Non_Exact,"3701 WINTON DR, JACKSONVILLE, FL, 32208","-81.7071551610191,30.389420588004214",83891551.0,R,12.0,31.0,11300.0,2007.0
90,"1515 Florida Blvd,  Neptune Beach, FL, 32266-3121",Match,Non_Exact,"1515 FLORIDA BLVD, NEPTUNE BEACH, FL, 32266","-81.40986739407299,30.31587235569998",83907282.0,L,12.0,31.0,14002.0,1021.0
117,"3663 Raines Ave,  Jacksonville, FL, 32209-1999",Match,Non_Exact,"3663 RAINES AVE, JACKSONVILLE, FL, 32209","-81.7078926310794,30.381896394073408",83891866.0,R,12.0,31.0,11400.0,1006.0
91,"14799 Bartram Springs Pkwy,  Jacksonville, FL, 32258-6101",Match,Non_Exact,"14799 BARTRAM SPRINGS PKWY, JACKSONVILLE, FL, 32258","-81.49605429880916,30.108035940761283",650092025.0,L,12.0,31.0,14423.0,3034.0
118,"3239 Norman E Thagard Blvd,  Jacksonville, FL, 32254-1796",Match,Non_Exact,"3239 NORMAN E THAGARD BLVD, JACKSONVILLE, FL, 32254","-81.72427677462264,30.34392431715412",83970137.0,R,12.0,31.0,11800.0,1017.0
92,"13333 Lanier Rd,  Jacksonville, FL, 32226-1799",Match,Non_Exact,"13333 LANIER RD, JACKSONVILLE, FL, 32226","-81.58797477649915,30.47767354682702",83901396.0,R,12.0,31.0,10101.0,4005.0
119,"2750 John Prom Blvd,  Jacksonville, FL, 32246-3999",Match,Non_Exact,"2750 JOHN PROM BLVD, JACKSONVILLE, FL, 32246","-81.51608681309983,30.297498899986635",83968743.0,R,12.0,31.0,14312.0,1002.0
93,"13200 Chets Creek Blvd,  Jacksonville, FL, 32224-5234",Match,Non_Exact,"13200 CHETS CREEK BLVD, JACKSONVILLE, FL, 32224","-81.47041724602622,30.267679135722744",648730601.0,L,12.0,31.0,14420.0,2000.0
id,"Street, City, State, Zip",No_Match,,,,,,,,,
94,"12731 Abess Blvd,  Jacksonville, FL, 32225-5942",Match,Non_Exact,"12731 ABESS BLVD, JACKSONVILLE, FL, 32225","-81.47619442381387,30.321726819823766",83969907.0,R,12.0,31.0,14336.0,1005.0
95,"12555 Gillespie Ave,  Jacksonville, FL, 32218-3813",Match,Non_Exact,"12555 GILLESPIE AVE, JACKSONVILLE, FL, 32218","-81.62587111475568,30.460738756940202",83965301.0,R,12.0,31.0,10203.0,1001.0
96,"12230 Biscayne Blvd,  Jacksonville, FL, 32218-8616",Match,Non_Exact,"12230 BISCAYNE BLVD, JACKSONVILLE, FL, 32218","-81.66959128204678,30.45190772295132",640946916.0,L,12.0,31.0,10305.0,1001.0
97,"1201 Kernan Blvd N,  Jacksonville, FL, 32225-5003",Match,Non_Exact,"1201 KERNAN BLVD N, JACKSONVILLE, FL, 32225","-81.48972958949821,30.344137534671745",83950166.0,L,12.0,31.0,14335.0,3004.0
10,"6900 Altama Rd,  Jacksonville, FL, 32216-9104",Match,Non_Exact,"6900 ALTAMA RD, JACKSONVILLE, FL, 32216","-81.58544339779019,30.302724613721125",83919163.0,R,12.0,31.0,15804.0,1006.0
98,"1200 Hammond Blvd,  Jacksonville, FL, 32221-1439",Match,Non_Exact,"1200 HAMMOND BLVD, JACKSONVILLE, FL, 32221","-81.79807524570867,30.302095064621483",653191097.0,R,12.0,31.0,11905.0,3002.0
11,"6725 Hema Rd,  Jacksonville, FL, 32209-1424",Match,Non_Exact,"6725 HEMA RD, JACKSONVILLE, FL, 32209","-81.7264666132919,30.380705755680538",83949484.0,R,12.0,31.0,10700.0,2001.0
99,"11400 Sam Caruso Way,  Jacksonville, FL, 32221-1830",Match,Non_Exact,"11400 SAM CARUSO WAY, JACKSONVILLE, FL, 32221","-81.85152555360946,30.279882653270363",640965779.0,L,12.0,31.0,13733.0,2004.0
12,"6527 Merrill Rd,  Jacksonville, FL, 32277-3626",Match,Non_Exact,"6527 MERRILL RD, JACKSONVILLE, FL, 32277","-81.58919023273597,30.351920247715896",83902912.0,L,12.0,31.0,14901.0,3015.0
13,"6127 Cedar Hills Blvd,  Jacksonville, FL, 32210-5199",Match,Non_Exact,"6127 CEDAR HILLS BLVD, JACKSONVILLE, FL, 32210","-81.74157454951978,30.26724460837869",83910795.0,R,12.0,31.0,12500.0,4001.0
14,"600 Baisden Rd,  Jacksonville, FL, 32218-4299",Match,Non_Exact,"600 BAISDEN RD, JACKSONVILLE, FL, 32218","-81.62792699207466,30.439593618275467",83891327.0,R,12.0,31.0,10202.0,2016.0
15,"555 Wonderwood Dr,  Atlantic Beach, FL, 32233-4699",Match,Non_Exact,"555 WONDERWOOD DR, ATLANTIC BEACH, FL, 32233","-81.40969265244559,30.371147049037802",83906631.0,R,12.0,31.0,13906.0,3000.0
16,"4827 Carlisle Rd,  Jacksonville, FL, 32210-8164",Match,Non_Exact,"4827 CARLISLE RD, JACKSONVILLE, FL, 32210","-81.70361659883736,30.25932126586133",83967323.0,L,12.0,31.0,13000.0,2014.0
17,"4228 Dignan St,  Jacksonville, FL, 32254-4111",Match,Non_Exact,"4228 DIGNAN ST, JACKSONVILLE, FL, 32254","-81.72104570850132,30.3245627891489",83889426.0,L,12.0,31.0,12100.0,1019.0
18,"4010 Baltic St,  Jacksonville, FL, 32210-4300",Match,Non_Exact,"4010 BALTIC ST, JACKSONVILLE, FL, 32210","-81.7026794491133,30.275146184303424",83913790.0,R,12.0,31.0,2400.0,1026.0
19,"3977 Herschel St,  Jacksonville, FL, 32205-9267",Match,Non_Exact,"3977 HERSCHEL ST, JACKSONVILLE, FL, 32205","-81.71324126618606,30.292294864787777",83913385.0,R,12.0,31.0,2200.0,4022.0
120,"2445 San Diego Rd,  Jacksonville, FL, 32207-3630",Match,Non_Exact,"2445 SAN DIEGO RD, JACKSONVILLE, FL, 32207","-81.63906338507172,30.29993754251973",83915228.0,L,12.0,31.0,600.0,4004.0
121,"1700 Old Middleburg Rd N,  Jacksonville, FL, 32210-1232",Match,Non_Exact,"1700 OLD MIDDLEBURG RD N, JACKSONVILLE, FL, 32210","-81.76552007389364,30.29102658320386",83910131.0,R,12.0,31.0,12601.0,2004.0
1,"964 Saint Clair St,  Jacksonville, FL, 32254-3148",Match,Non_Exact,"964 ST CLAIR ST, JACKSONVILLE, FL, 32254","-81.71664827809377,30.335920165447533",83889080.0,L,12.0,31.0,2702.0,2006.0
122,"1200 S Mcduff Ave,  Jacksonville, FL, 32205-8098",No_Match,,,,,,,,,
2,"9430 Lem Turner Rd,  Jacksonville, FL, 32208-1598",Match,Non_Exact,"9430 LEM TURNER RD, JACKSONVILLE, FL, 32208","-81.68952684391093,30.411298501603937",83891621.0,L,12.0,31.0,11000.0,4015.0
123,"1149 W 13th St,  Jacksonville, FL, 32209-5699",Match,Non_Exact,"1149 W 13TH ST, JACKSONVILLE, FL, 32209","-81.67297912024031,30.35145871280389",83895802.0,R,12.0,31.0,1500.0,1009.0
3,"8801 Lake Placid Dr E,  Jacksonville, FL, 32208-6922",Match,Non_Exact,"8801 LAKE PLACID DR E, JACKSONVILLE, FL, 32208","-81.71105036795495,30.40092371106863",83891445.0,R,12.0,31.0,10900.0,2005.0
124,"8141 Lone Star Rd,  Jacksonville, FL, 32211-5145",Match,Non_Exact,"8141 LONE STAR RD, JACKSONVILLE, FL, 32211","-81.57036517422392,30.33770797107161",83970384.0,L,12.0,31.0,15001.0,3012.0
4,"840 Reynolds Ln,  Jacksonville, FL, 32254-2998",Match,Non_Exact,"840 REYNOLDS LN, JACKSONVILLE, FL, 32254","-81.73528203318557,30.334969762485002",83889099.0,L,12.0,31.0,11800.0,3060.0
125,"8050 Point Meadows Dr,  Jacksonville, FL, 32256-7011",Match,Non_Exact,"8050 POINT MEADOWS DR, JACKSONVILLE, FL, 32256","-81.51494086864807,30.225938085367204",653179396.0,R,12.0,31.0,14417.0,1009.0
5,"8257 Herlong Rd,  Jacksonville, FL, 32210-2323",Match,Non_Exact,"8257 HERLONG RD, JACKSONVILLE, FL, 32210","-81.78709505994522,30.284376550484353",647056141.0,R,12.0,31.0,12702.0,2003.0
126,"7050 Melvin Rd,  Jacksonville, FL, 32210-6830",Match,Non_Exact,"7050 MELVIN RD, JACKSONVILLE, FL, 32210","-81.76069788793188,30.255583973126477",83911997.0,L,12.0,31.0,12800.0,5016.0
6,"8233 Nevada St,  Jacksonville, FL, 32220-2651",Match,Non_Exact,"8233 NEVADA ST, JACKSONVILLE, FL, 32220","-81.7868260413403,30.324066541221555",83886930.0,R,12.0,31.0,11901.0,3024.0
127,"5100 Hood Rd,  Jacksonville, FL, 32257-1122",Match,Non_Exact,"5100 HOOD RD, JACKSONVILLE, FL, 32257","-81.58848226104635,30.190258216758764",627912917.0,R,12.0,31.0,16728.0,1000.0
7,"7800 Gregory Dr,  Jacksonville, FL, 32210-4685",Match,Non_Exact,"7800 GREGORY DR, JACKSONVILLE, FL, 32210","-81.77741337778906,30.262445963920356",83967215.0,R,12.0,31.0,12704.0,3005.0
128,"501 N Davis St,  Jacksonville, FL, 32202-4728",Match,Non_Exact,"501 N DAVIS ST, JACKSONVILLE, FL, 32202","-81.66799673668339,30.33200495421835",83897075.0,R,12.0,31.0,17200.0,2039.0
8,"7528 Hull St,  Jacksonville, FL, 32219-3415",Match,Non_Exact,"7528 HULL ST, JACKSONVILLE, FL, 32219","-81.73266895194939,30.38949031590539",83978701.0,L,12.0,31.0,10700.0,3058.0
129,"4815 Wesconnett Blvd,  Jacksonville, FL, 32210-7398",Match,Non_Exact,"4815 WESCONNETT BLVD, JACKSONVILLE, FL, 32210","-81.73986449125744,30.254286751400002",83967301.0,L,12.0,31.0,13403.0,1008.0
9,"7401 Old Kings Rd S,  Jacksonville, FL, 32217-3799",Match,Non_Exact,"7401 OLD KINGS RD S, JACKSONVILLE, FL, 32217","-81.61580016880043,30.24565160279883",610519974.0,L,12.0,31.0,16606.0,1000.0
20,"3925 Athore Dr,  Jacksonville, FL, 32277-2032",Match,Non_Exact,"3925 ATHORE DR, JACKSONVILLE, FL, 32277","-81.59454081956636,30.370504581041985",83902280.0,R,12.0,31.0,14702.0,1009.0
21,"3831 Forest Blvd,  Jacksonville, FL, 32246-6499",Match,Non_Exact,"3831 FOREST BLVD, JACKSONVILLE, FL, 32246","-81.54310095461688,30.277543769374574",647374914.0,L,12.0,31.0,14414.0,2000.0
22,"3723 Franklin St,  Jacksonville, FL, 32206-1599",Match,Non_Exact,"3723 FRANKLIN ST, JACKSONVILLE, FL, 32206","-81.63914104636763,30.36136629766895",83898304.0,R,12.0,31.0,200.0,2007.0
23,"3257 Lake Shore Blvd,  Jacksonville, FL, 32210-5345",Match,Non_Exact,"3257 LAKE SHORE BLVD, JACKSONVILLE, FL, 32210","-81.7233919031508,30.27106391493595",83967922.0,L,12.0,31.0,12400.0,2033.0
24,"298 Sherry Dr,  Atlantic Beach, FL, 32233-5238",Match,Non_Exact,"298 SHERRY DR, ATLANTIC BEACH, FL, 32233","-81.40031724716147,30.327684614926568",83970047.0,L,12.0,31.0,13906.0,1023.0
25,"2854 W 45th St,  Jacksonville, FL, 32209-2825",Match,Non_Exact,"2854 W 45TH ST, JACKSONVILLE, FL, 32209","-81.71085103851073,30.369634508438537",83891944.0,L,12.0,31.0,11600.0,2021.0
26,"2801 Herschel St,  Jacksonville, FL, 32205-8116",Match,Non_Exact,"2801 HERSCHEL ST, JACKSONVILLE, FL, 32205","-81.6953494545005,30.308326867406436",83913639.0,R,12.0,31.0,2102.0,1009.0
27,"2753 Shangri La Dr,  Atlantic Beach, FL, 32233-2999",Match,Non_Exact,"2753 SHANGRI LA DR, ATLANTIC BEACH, FL, 32233","-81.41916639364644,30.361776262077854",83906591.0,R,12.0,31.0,13904.0,3018.0
28,"2101 W Palm Ave,  Jacksonville, FL, 32254-1734",Match,Non_Exact,"2101 W PALM AVE, JACKSONVILLE, FL, 32254","-81.72920033409946,30.34352002418791",83888805.0,R,12.0,31.0,11800.0,1020.0
29,"1951 W 15th St,  Jacksonville, FL, 32209-4796",Match,Non_Exact,"1951 W 15TH ST, JACKSONVILLE, FL, 32209","-81.69118472684659,30.352731531730626",83956666.0,R,12.0,31.0,2801.0,1024.0
130,"3787 University Club Blvd,  Jacksonville, FL, 32277-1973",Match,Non_Exact,"3787 UNIVERSITY CLUB BLVD, JACKSONVILLE, FL, 32277","-81.59672669511679,30.36964265035391",83971002.0,R,12.0,31.0,14702.0,1009.0
131,"3610 Ribault Scenic Dr,  Jacksonville, FL, 32208-2997",Match,Non_Exact,"3610 RIBAULT SCENIC DR, JACKSONVILLE, FL, 32208","-81.71104502346299,30.391596460631035",83971655.0,L,12.0,31.0,11300.0,2007.0
132,"3276 Norman E Thagard Blvd,  Jacksonville, FL, 32254-1765",Match,Non_Exact,"3276 NORMAN E THAGARD BLVD, JACKSONVILLE, FL, 32254","-81.72479742480243,30.34381308431557",83970137.0,L,12.0,31.0,11800.0,1020.0
133,"2948 Knights Ln E,  Jacksonville, FL, 32216-5697",Match,Non_Exact,"2948 KNIGHTS LN E, JACKSONVILLE, FL, 32216","-81.59446655539642,30.272232377754676",83967440.0,R,12.0,31.0,16001.0,2009.0
134,"2710 Dupont Ave,  Jacksonville, FL, 32217-2635",Match,Non_Exact,"2710 DUPONT AVE, JACKSONVILLE, FL, 32217","-81.63340137255761,30.250832051703867",83916862.0,R,12.0,31.0,16500.0,4023.0
135,"2600 Mayport Rd,  Atlantic Beach, FL, 32233-2804",Match,Non_Exact,"2600 MAYPORT RD, ATLANTIC BEACH, FL, 32233","-81.42244550480558,30.363447221735612",651714378.0,L,12.0,31.0,13904.0,2000.0
136,"2519 Bayview Rd,  Jacksonville, FL, 32210-5399",Match,Non_Exact,"2519 BAYVIEW RD, JACKSONVILLE, FL, 32210","-81.72600331454612,30.27377595502179",83967920.0,L,12.0,31.0,12400.0,2048.0
137,"2271 Kernan Blvd S,  Jacksonville, FL, 32276-4073",Match,Non_Exact,"2271 KERNAN BLVD S, JACKSONVILLE, FL, 32246","-81.48891335943784,30.30344543267978",610493160.0,L,12.0,31.0,14339.0,1013.0
138,"2034 Hubbard St,  Jacksonville, FL, 32206-3728",Match,Non_Exact,"2034 HUBBARD ST, JACKSONVILLE, FL, 32206","-81.65214343410088,30.348832356914727",83898829.0,L,12.0,31.0,1200.0,1010.0
139,"2000 3rd St N,  Jacksonville Beach, FL, 32250-7430",Match,Non_Exact,"2000 3RD ST N, JACKSONVILLE BEACH, FL, 32250","-81.39556973872328,30.306784671780974",83923058.0,L,12.0,31.0,14103.0,1000.0
30,"1709 Lansdowne Dr,  Jacksonville, FL, 32211-5197",Match,Non_Exact,"1709 LANSDOWNE DR, JACKSONVILLE, FL, 32211","-81.57317542622064,30.34016833295476",83970380.0,R,12.0,31.0,15001.0,3011.0
31,"1400 Seabreeze Ave,  Jacksonville Beach, FL, 32250-3293",Match,Non_Exact,"1400 SEABREEZE AVE, JACKSONVILLE BEACH, FL, 32250","-81.4005984511333,30.270856777654558",83923741.0,L,12.0,31.0,14204.0,2004.0
32,"1201 University Blvd N,  Jacksonville, FL, 32211-8851",Match,Non_Exact,"1201 UNIVERSITY BLVD N, JACKSONVILLE, FL, 32211","-81.60300464098123,30.332430057405702",83970351.0,R,12.0,31.0,15400.0,2031.0
33,"10741 Pine Estates Rd E,  Jacksonville, FL, 32218-4699",Match,Non_Exact,"10741 E PINE ESTATES RD, JACKSONVILLE, FL, 32218","-81.68282601894867,30.431053485904783",83890496.0,R,12.0,31.0,10306.0,1001.0
34,"10450 Theresa Dr,  Jacksonville, FL, 32246-8746",Match,Non_Exact,"10450 THERESA DR, JACKSONVILLE, FL, 32246","-81.52915700996482,30.32005837565856",83969834.0,R,12.0,31.0,14311.0,1009.0
35,"10400 Lone Star Rd,  Jacksonville, FL, 32225-6797",Match,Non_Exact,"10400 LONE STAR RD, JACKSONVILLE, FL, 32225","-81.5314021834356,30.338298276870546",83905182.0,R,12.0,31.0,14603.0,3000.0
36,"1128 Barber St,  Jacksonville, FL, 32209-7199",Match,Non_Exact,"1128 BARBER ST, JACKSONVILLE, FL, 32209","-81.6890847989335,30.339843893014233",83927473.0,L,12.0,31.0,2802.0,3003.0
37,"5530 Firestone Rd,  Jacksonville, FL, 32244-1599",Match,Non_Exact,"5530 FIRESTONE RD, JACKSONVILLE, FL, 32244","-81.76458913945191,30.246594447363748",83966858.0,R,12.0,31.0,13523.0,1011.0
38,"1157 Golfair Blvd,  Jacksonville, FL, 32209-4037",Match,Non_Exact,"1157 GOLFAIR BLVD, JACKSONVILLE, FL, 32209","-81.6731898832524,30.364963000879584",83893237.0,R,12.0,31.0,1402.0,3004.0
39,"900 Acorn St,  Jacksonville, FL, 32209-7106",Match,Non_Exact,"900 ACORN ST, JACKSONVILLE, FL, 32209","-81.6851920657291,30.337674359268306",83895495.0,L,12.0,31.0,2802.0,3029.0
140,"1819 Thacker Ave,  Jacksonville, FL, 32207-3397",Match,Non_Exact,"1819 THACKER AVE, JACKSONVILLE, FL, 32207","-81.65329799022703,30.30750169395526",83914830.0,L,12.0,31.0,700.0,1002.0
141,"143 Oceanway Ave,  Jacksonville, FL, 32218-2615",Match,Non_Exact,"143 OCEANWAY AVE, JACKSONVILLE, FL, 32218","-81.6296264962553,30.466571087617297",83890906.0,L,12.0,31.0,10204.0,1008.0
142,"1424 Franklin St,  Jacksonville, FL, 32206-4899",No_Match,,,,,,,,,
143,"10913 Pine Estates Rd E,  Jacksonville, FL, 32218-4634",Match,Non_Exact,"10913 E PINE ESTATES RD, JACKSONVILLE, FL, 32218","-81.6828574899153,30.43384439349495",83890402.0,R,12.0,31.0,10306.0,1001.0
144,"101 Kernan Blvd N,  Jacksonville, FL, 32225-5302",Match,Non_Exact,"101 KERNAN BLVD N, JACKSONVILLE, FL, 32225","-81.4894865014358,30.331996456006664",629624249.0,L,12.0,31.0,14336.0,3000.0
145,"9238 103rd St,  Jacksonville, FL, 32210-8610",Match,Non_Exact,"9238 103RD ST, JACKSONVILLE, FL, 32210","-81.80913603024504,30.247694968290773",83936528.0,R,12.0,31.0,13723.0,1003.0
146,"9143 Phillips Hwy Ste. 590,  Jacksonville, FL, 32256-1381",Match,Non_Exact,"9143 PHILIPS HWY, JACKSONVILLE, FL, 32256","-81.57293855972756,30.200633704097754",636331451.0,L,12.0,31.0,16725.0,1001.0
